model,run,horizon,avg_epoch_time_s,e2e_until_best_s,total_fit_time_s,best_epoch,best_ckpt,inference_time_s,mse,rmse,mae,mape,smape
TimeXer,1,25,99.2179120237177,597.7590243816376,1096.6691761016846,5,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_timexer_norm_multirun_lon/run_1/horizon_25/best-epoch=05-val_loss=0.0000.ckpt,19.291934967041016,4.4824450014857575e-05,0.006695106422967269,0.0023180930875241756,0.7387006878852844,22.53912389278412
TimeXer,2,25,96.0424310863018,287.16905665397644,771.0606598854065,2,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_timexer_norm_multirun_lon/run_2/horizon_25/best-epoch=02-val_loss=0.0000.ckpt,18.632571697235107,4.486890247790143e-05,0.006698425373018754,0.002352263545617461,0.6721944808959961,23.179659247398376
TimeXer,3,25,97.4030978679657,392.26808309555054,880.3748962879181,3,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_timexer_norm_multirun_lon/run_3/horizon_25/best-epoch=03-val_loss=0.0000.ckpt,19.06262993812561,4.5002627302892506e-05,0.006708399757236632,0.0023634827230125666,0.7939475774765015,23.409558832645416
TimeXer,4,25,99.55660756429036,399.08884024620056,899.5537230968475,3,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_timexer_norm_multirun_lon/run_4/horizon_25/best-epoch=03-val_loss=0.0000.ckpt,19.245206594467163,4.6234392357291654e-05,0.0067995876608285336,0.0023846407420933247,0.7008195519447327,23.48860055208206
TimeXer,1,30,99.79278367215937,600.2322669029236,1102.2308826446533,5,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_timexer_norm_multirun_lon/run_1/horizon_30/best-epoch=05-val_loss=0.0000.ckpt,18.800702810287476,4.64576696685981e-05,0.006815986331309512,0.002401585690677166,0.8242982625961304,23.49351793527603
TimeXer,2,30,98.1330691916602,882.1631608009338,1378.5910720825195,8,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_timexer_norm_multirun_lon/run_2/horizon_30/best-epoch=08-val_loss=0.0000.ckpt,19.213598012924194,4.48652463092003e-05,0.006698152454908764,0.0023464926052838564,0.7772247791290283,22.868533432483673
TimeXer,3,30,96.1293666627672,385.12103152275085,868.350860118866,3,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_timexer_norm_multirun_lon/run_3/horizon_30/best-epoch=03-val_loss=0.0000.ckpt,18.649450063705444,4.647902096621692e-05,0.0068175524175628395,0.00247326772660017,0.7838374376296997,24.11959022283554
TimeXer,4,30,98.57777924764724,1573.658679485321,2078.0668048858643,15,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_timexer_norm_multirun_lon/run_4/horizon_30/best-epoch=15-val_loss=0.0000.ckpt,18.90507459640503,4.512299346970394e-05,0.006717365068961485,0.002323301276192069,0.7741398811340332,22.870400547981262
TimeXer,1,35,99.50846964518229,998.7680213451385,1498.6193344593048,9,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_timexer_norm_multirun_lon/run_1/horizon_35/best-epoch=09-val_loss=0.0000.ckpt,20.074708223342896,4.567934956867248e-05,0.006758649981222025,0.0023779766634106636,0.7950440049171448,23.38530421257019
TimeXer,2,35,97.08217473257156,1552.4657883644104,2045.8291382789612,15,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_timexer_norm_multirun_lon/run_2/horizon_35/best-epoch=15-val_loss=0.0000.ckpt,18.98865008354187,4.4157080992590636e-05,0.006645079457206711,0.002300185849890113,0.7554306387901306,22.596020996570587
